iter	Passed	Remaining
0	10	1033
1	11	565
2	12	405
3	13	321
4	14	272
5	15	239
6	16	214
7	17	195
8	18	182
9	18	170
10	19	160
11	20	152
12	21	145
13	22	139
14	23	133
15	24	129
16	25	124
17	26	121
18	27	117
19	28	113
20	29	109
21	30	106
22	31	103
23	32	101
24	33	99
25	34	96
26	34	94
27	36	92
28	37	90
29	38	89
30	39	87
31	40	85
32	41	83
33	42	81
34	43	80
35	44	78
36	45	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	63
46	55	62
47	56	60
48	57	59
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	65	45
59	66	44
60	67	43
61	68	42
62	69	41
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
